Dates,Depression Score,OCD Score,Anxiety Score
6/1/17 5:19,5.555555556,0,0
6/1/17 5:59,0,0,0
6/1/17 6:01,18.75,18.75,12.5
6/1/17 6:15,5,5,0
6/1/17 8:07,5.263157895,0,0
6/1/17 9:04,4.545454545,4.545454545,0
6/1/17 10:27,12.5,12.5,12.5
6/1/17 10:29,0,0,0
6/1/17 10:34,0,0,0
6/1/17 14:47,14.28571429,7.142857143,0
6/1/17 19:12,6.896551724,3.448275862,0
6/1/17 19:26,0,0,0
6/1/17 20:04,13.33333333,6.666666667,0
6/1/17 20:19,16.66666667,0,0
6/1/17 21:11,0,0,0
6/1/17 21:34,13.63636364,4.545454545,13.63636364
6/1/17 21:44,0,0,0
6/2/17 2:23,9.090909091,0,9.090909091
6/2/17 10:28,7.142857143,0,7.142857143
6/2/17 15:32,0,6.25,0
6/2/17 16:01,4.545454545,0,0
6/2/17 17:01,0,11.11111111,0
6/2/17 17:01,0,0,0
6/2/17 17:16,4.761904762,0,0
6/2/17 20:22,0,0,0
6/2/17 20:49,12.5,12.5,6.25
6/2/17 21:43,10,10,0
6/3/17 15:02,0,4.347826087,8.695652174
6/3/17 15:09,21.05263158,0,10.52631579
6/3/17 15:09,5.263157895,10.52631579,5.263157895
6/3/17 15:25,0,13.04347826,0
6/3/17 21:26,0,0,0
6/4/17 6:24,0,12.5,0
6/4/17 6:32,4,0,0
6/4/17 6:38,0,5.555555556,0
6/4/17 10:18,0,0,4.761904762
6/4/17 13:38,11.53846154,7.692307692,0
6/4/17 15:10,5.555555556,0,0
6/4/17 16:51,7.142857143,14.28571429,0
6/4/17 17:17,7.692307692,0,0
6/4/17 17:19,4.545454545,4.545454545,0
6/4/17 17:41,7.142857143,7.142857143,0
6/4/17 17:45,0,0,0
6/4/17 18:17,11.11111111,16.66666667,5.555555556
6/4/17 18:20,0,0,0
6/4/17 18:42,4.545454545,4.545454545,0
6/4/17 18:43,0,0,0
6/4/17 18:51,0,0,0
6/4/17 19:23,0,0,0
6/4/17 19:53,0,0,0
6/4/17 19:57,0,0,6.666666667
6/4/17 19:59,0,0,17.64705882
6/4/17 20:05,15,10,0
6/4/17 21:48,0,0,0
6/5/17 11:15,0,8.333333333,0
6/5/17 14:32,0,4.347826087,0
6/5/17 15:16,8.333333333,0,8.333333333
6/6/17 6:29,0,10,0
6/6/17 6:32,5.555555556,0,0
6/6/17 6:37,8.695652174,4.347826087,4.347826087
6/6/17 6:37,0,22.22222222,0
6/6/17 6:39,0,0,16.66666667
6/6/17 6:41,0,0,0
6/6/17 6:45,0,0,0
6/6/17 7:08,4.545454545,0,0
6/6/17 7:57,0,0,0
6/6/17 7:59,0,0,0
6/6/17 8:00,0,5.263157895,0
6/6/17 8:02,0,7.142857143,0
6/6/17 8:17,15.78947368,5.263157895,5.263157895
6/6/17 8:41,6.25,0,0
6/6/17 8:56,7.142857143,0,14.28571429
6/6/17 8:58,8.333333333,4.166666667,8.333333333
6/6/17 9:21,13.63636364,0,0
6/6/17 14:38,0,0,0
6/6/17 14:39,0,0,0
6/6/17 14:39,0,0,0
6/7/17 7:35,0,0,6.25
6/7/17 7:41,10,0,0
6/7/17 12:45,16.66666667,0,0
6/7/17 13:08,4.347826087,0,0
6/7/17 19:03,3.703703704,0,3.703703704
6/7/17 19:05,6.666666667,13.33333333,0
6/7/17 19:26,7.142857143,0,0
6/7/17 19:34,0,5.263157895,5.263157895
6/7/17 19:39,0,5.263157895,0
6/7/17 19:40,5,0,0
6/7/17 19:48,0,5.263157895,5.263157895
6/7/17 21:19,0,0,0
6/8/17 6:18,5.882352941,0,0
6/8/17 6:48,14.28571429,0,0
6/8/17 8:17,0,0,0
6/8/17 8:54,0,0,0
